City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Saldanha,ZA,-33.0117,17.9442,60.85,96,29,0.98,scattered clouds
80,Tuatapere,NZ,-46.1333,167.6833,62.82,56,98,11.21,overcast clouds
81,Port Lincoln,AU,-34.7333,135.8667,63.84,53,44,11.54,scattered clouds
82,Argelia,CO,2.2556,-77.2488,66.58,99,100,0.51,light rain
83,Bathsheba,BB,13.2167,-59.5167,79.41,73,20,16.11,few clouds
84,Cayenne,GF,4.9333,-52.3333,81.09,87,90,4.0,light rain
85,Saint-Philippe,RE,-21.3585,55.7679,78.35,77,41,8.68,scattered clouds
86,Namibe,AO,-15.1961,12.1522,69.94,67,87,6.08,overcast clouds
87,Sept-Iles,CA,50.2001,-66.3821,5.52,66,1,10.36,clear sky
88,Provideniya,RU,64.3833,-173.3,5.11,78,75,13.42,broken clouds
89,Ilulissat,GL,69.2167,-51.1,21.22,49,87,11.5,overcast clouds
90,Vikhorevka,RU,56.1201,101.1636,9.99,89,100,14.76,light snow
91,Eyl,SO,7.9803,49.8164,72.84,71,24,17.16,few clouds
92,New Norfolk,AU,-42.7826,147.0587,60.91,48,94,1.99,overcast clouds
93,Butaritari,KI,3.0707,172.7902,82.35,77,100,8.03,overcast clouds
94,Baraya,CO,3.1533,-75.0531,76.8,87,99,4.76,overcast clouds
95,Kargasok,RU,59.0556,80.8572,5.11,97,95,6.96,overcast clouds
96,Riosucio,CO,5.4216,-75.7032,64.83,98,100,0.58,overcast clouds
97,Port Elizabeth,ZA,-33.918,25.5701,68.29,100,75,5.75,broken clouds
98,Beringovskiy,RU,63.05,179.3167,-5.15,91,100,15.32,overcast clouds
99,Beloha,MG,-25.1667,45.05,75.51,70,5,4.7,clear sky
100,Murgab,TM,37.4966,61.9714,44.47,57,2,13.8,haze
101,Moose Factory,CA,51.2585,-80.6094,6.78,72,90,6.91,overcast clouds
102,Swan Hill,AU,-35.3378,143.5544,77.74,24,8,12.75,clear sky
103,Noumea,NC,-22.2763,166.4572,94.98,99,14,6.78,few clouds
104,Tiznit,MA,29.5833,-9.5,55.81,25,0,6.04,clear sky
105,Lubawa,PL,53.5043,19.7497,28.4,98,100,13.06,light snow
106,Den Helder,NL,52.9599,4.7593,39.97,93,75,15.99,broken clouds
107,Cherskiy,RU,68.75,161.3,-43.89,100,97,5.55,overcast clouds
108,Halifax,CA,44.6453,-63.5724,23.05,90,42,3.44,scattered clouds
109,Avarua,CK,-21.2078,-159.775,80.65,74,40,4.61,scattered clouds
