City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Byron Bay,AU,-28.65,153.6167,71.06,91,94,5.66,overcast clouds
80,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,85.39,63,47,13.15,scattered clouds
81,Vestmannaeyjar,IS,63.4427,-20.2734,40.19,75,75,18.41,broken clouds
82,East London,ZA,-33.0153,27.9116,70.74,94,90,9.22,light intensity drizzle
83,Placido De Castro,BR,-10.3353,-67.1856,81.63,91,86,2.39,overcast clouds
84,Kelvington,CA,52.1667,-103.5343,11.86,92,100,17.45,light snow
85,Sinnamary,GF,5.3833,-52.95,81.27,80,80,3.22,broken clouds
86,Bowen,AU,-20.0167,148.2333,75.42,79,51,5.39,broken clouds
87,Torbay,CA,47.6666,-52.7314,35.58,63,75,13.8,broken clouds
88,Kodiak,US,57.79,-152.4072,35.11,64,75,8.05,broken clouds
89,Hermanus,ZA,-34.4187,19.2345,80.91,67,55,19.77,broken clouds
90,Coihaique,CL,-45.5752,-72.0662,64.35,52,40,9.22,scattered clouds
91,Tautira,PF,-17.7333,-149.15,77.02,75,96,15.75,overcast clouds
92,Lasa,IT,46.6166,10.7002,31.46,96,100,3.27,light snow
93,Tuktoyaktuk,CA,69.4541,-133.0374,8.6,92,90,12.66,overcast clouds
94,Riachao Das Neves,BR,-11.7461,-44.91,81.46,77,25,5.06,moderate rain
95,Kirakira,SB,-10.4544,161.9205,80.6,86,100,6.69,overcast clouds
96,Vardo,NO,70.3705,31.1107,10.38,67,0,11.5,clear sky
97,Saint-Philippe,RE,-21.3585,55.7679,78.39,72,23,10.09,few clouds
98,Hilo,US,19.7297,-155.09,75.27,46,90,4.61,light rain
99,Leningradskiy,RU,69.3833,178.4167,-7.46,93,100,15.66,overcast clouds
100,Lorengau,PG,-2.0226,147.2712,79.29,91,100,20.89,moderate rain
101,Yellowknife,CA,62.456,-114.3525,3.72,92,90,10.36,light snow
102,New Plymouth,NZ,-39.0667,174.0833,64.06,96,57,4.38,broken clouds
103,Birchis,RO,45.9667,22.1667,31.48,94,70,0.65,broken clouds
104,Mar Del Plata,AR,-38.0023,-57.5575,80.62,90,0,21.0,clear sky
105,Egvekinot,RU,66.3167,-179.1667,-8.54,88,93,9.22,overcast clouds
106,Nikolskoye,RU,59.7035,30.7861,6.69,99,100,2.24,overcast clouds
107,Yafran,LY,32.0633,12.5286,54.75,22,79,9.91,broken clouds
108,Luwuk,ID,-0.9516,122.7875,78.57,91,100,1.14,overcast clouds
109,Fairbanks,US,64.8378,-147.7164,15.76,86,90,0.0,mist
110,Ola,RU,59.5833,151.2833,-22.83,85,2,7.87,clear sky
111,Manama,BH,26.2154,50.5832,73.38,76,0,5.75,clear sky
112,Maridi,SS,4.9158,29.4742,85.5,27,96,4.43,overcast clouds
113,Smithers,CA,54.7804,-127.1743,14.32,92,75,3.44,broken clouds
114,Castro,BR,-24.7911,-50.0119,71.92,48,45,6.02,scattered clouds
115,Touros,BR,-5.1989,-35.4608,88.7,59,42,14.85,scattered clouds
116,Atasu,KZ,48.6814,71.6433,-4.54,98,72,5.46,broken clouds
117,Vega De Alatorre,MX,20.0333,-96.6333,77.92,75,26,3.42,scattered clouds
118,Puerto Ayora,EC,-0.7393,-90.3518,75.16,77,93,9.8,overcast clouds
119,Deoli,IN,25.75,75.3833,64.04,38,0,6.42,clear sky
120,Ostrovnoy,RU,68.0531,39.5131,13.39,79,62,3.67,broken clouds
121,Trincomalee,LK,8.5711,81.2335,81.0,78,50,8.75,light rain
122,Ballina,AU,-28.8667,153.5667,68.18,91,92,1.14,overcast clouds
123,Srikakulam,IN,18.3,83.9,75.6,78,11,12.82,few clouds
124,La Palma,US,33.8464,-118.0467,62.35,86,40,5.75,mist
125,Padang,ID,-0.9492,100.3543,75.25,88,58,4.14,broken clouds
126,Saskylakh,RU,71.9167,114.0833,-6.23,96,100,7.76,overcast clouds
127,Henties Bay,NA,-22.116,14.2845,62.85,74,4,8.88,clear sky
128,Sheridan,US,44.8333,-106.9173,39.38,79,1,0.0,clear sky
129,Matay,EG,28.419,30.7792,61.2,44,0,9.53,clear sky
130,Wuwei,CN,37.9281,102.6414,33.82,33,0,2.82,clear sky
131,Saint-Joseph,RE,-21.3667,55.6167,77.38,71,35,9.28,scattered clouds
132,Goma,CD,-1.6792,29.2228,65.32,86,99,2.84,overcast clouds
133,Cherskiy,RU,68.75,161.3,-44.03,100,100,2.84,overcast clouds
134,Carnarvon,AU,-24.8667,113.6333,71.67,88,40,12.66,scattered clouds
135,Urengoy,RU,65.9667,78.3667,9.84,94,100,21.85,light snow
136,Saint George,US,37.1041,-113.5841,52.54,89,90,0.0,overcast clouds
137,Jiuquan,CN,39.7432,98.5174,31.19,34,5,1.88,clear sky
138,Nome,US,64.5011,-165.4064,12.27,73,90,10.36,overcast clouds
139,Marawi,PH,7.9986,124.2928,66.65,96,80,1.63,broken clouds
140,Manado,ID,1.487,124.8455,77.77,100,40,1.14,scattered clouds
141,Souillac,MU,-20.5167,57.5167,80.98,69,40,6.91,scattered clouds
142,Urusha,RU,54.05,122.9,2.73,98,100,2.21,overcast clouds
143,Tiksi,RU,71.6872,128.8694,-20.51,95,100,7.94,overcast clouds
144,Hay River,CA,60.8156,-115.7999,10.38,85,75,2.3,broken clouds
145,Lubartow,PL,51.4603,22.6095,26.65,83,50,9.75,scattered clouds
146,Bathsheba,BB,13.2167,-59.5167,84.81,70,40,21.85,scattered clouds
147,Premnitz,DE,52.5333,12.3333,36.28,91,100,7.9,overcast clouds
148,Howard Springs,AU,-12.497,131.047,82.31,94,23,4.25,few clouds
149,Milin,CZ,49.6319,14.046,31.48,100,100,7.25,overcast clouds
150,Kunming,CN,25.0389,102.7183,48.13,81,0,8.95,clear sky
151,Bredasdorp,ZA,-34.5322,20.0403,71.28,68,81,16.11,broken clouds
152,Mandiana,GN,10.6333,-8.6833,96.67,10,1,6.67,clear sky
153,Tilichiki,RU,60.4667,166.1,-8.21,99,98,8.9,overcast clouds
154,Salvador,SV,13.8333,-88.9167,81.0,58,68,2.46,broken clouds
155,Merauke,ID,-8.4667,140.3333,80.4,80,76,4.85,broken clouds
156,Usinsk,RU,65.9939,57.5281,-6.74,99,46,9.15,scattered clouds
157,Camacari,BR,-12.6975,-38.3242,87.57,60,72,10.54,broken clouds
158,Chokurdakh,RU,70.6333,147.9167,-45.98,100,100,3.6,overcast clouds
159,Atherton,GB,53.5237,-2.4935,44.73,90,84,5.01,light rain
160,Laguilayan,PH,6.6525,124.5211,76.48,92,100,1.54,overcast clouds
161,Hasaki,JP,35.7333,140.8333,46.8,85,100,33.06,moderate rain
162,Pingliang,CN,35.5392,106.6861,35.69,67,0,1.9,clear sky
163,Srednekolymsk,RU,67.45,153.6833,-23.53,98,100,4.0,overcast clouds
164,Kapit,MY,2.0167,112.9333,74.08,100,76,0.29,broken clouds
165,Kavaratti,IN,10.5669,72.642,80.69,73,5,7.96,clear sky
166,High Level,CA,58.5169,-117.136,8.71,92,90,3.44,light snow
167,Fortuna Foothills,US,32.6578,-114.4119,59.7,52,1,3.0,clear sky
168,Tura,IN,25.5198,90.2201,63.25,81,1,3.96,clear sky
169,Villiers,ZA,-27.0303,28.6006,69.35,62,41,2.91,light rain
170,Carbonia,IT,39.1672,8.5222,58.01,90,90,18.52,overcast clouds
171,Saldanha,ZA,-33.0117,17.9442,82.45,76,57,16.13,broken clouds
172,Roald,NO,62.5833,6.1333,38.32,51,0,14.97,clear sky
173,Axim,GH,4.8699,-2.2405,83.7,69,22,11.12,few clouds
174,Port Blair,IN,11.6667,92.75,80.29,73,60,14.5,broken clouds
175,Nanortalik,GL,60.1432,-45.2371,28.99,90,100,22.88,light snow
176,Krasnoselkup,RU,65.7,82.4667,5.88,88,100,24.07,overcast clouds
177,Conway,US,35.0887,-92.4421,45.79,64,1,4.61,clear sky
178,Nantucket,US,41.2835,-70.0995,43.09,64,100,8.72,overcast clouds
179,Inuvik,CA,68.3499,-133.7218,21.24,92,90,1.14,light snow
180,Biak,ID,-0.9131,122.8766,76.66,89,100,1.36,overcast clouds
181,Sisimiut,GL,66.9395,-53.6735,15.62,59,100,6.38,overcast clouds
182,Isangel,VU,-19.55,169.2667,77.11,83,3,5.75,clear sky
183,Calama,CL,-22.4667,-68.9333,79.29,8,20,14.97,few clouds
184,San Jose,US,37.3394,-121.895,54.55,93,40,5.75,mist
185,Rio Grande City,US,26.3798,-98.8203,60.55,76,33,5.1,scattered clouds
186,Monrovia,LR,6.3005,-10.7969,91.17,70,49,12.64,scattered clouds
187,Havre-Saint-Pierre,CA,50.2334,-63.5986,10.99,66,1,14.97,clear sky
188,Maksatikha,RU,57.797,35.8825,-1.5,100,66,3.0,broken clouds
189,Moctezuma,MX,29.8,-109.6667,63.36,33,100,2.59,overcast clouds
190,Ust-Karsk,RU,52.7011,118.8077,10.33,96,100,3.69,overcast clouds
191,Shambu,ET,9.5667,37.1,55.6,39,13,2.21,few clouds
192,Marienburg,PL,54.0359,19.0266,21.88,65,67,6.33,broken clouds
193,Bambanglipuro,ID,-7.95,110.2833,79.57,83,57,0.94,broken clouds
194,Chuy,UY,-33.6971,-53.4616,75.45,51,10,13.11,clear sky
195,Borba,BR,-4.3878,-59.5939,82.51,86,98,3.11,overcast clouds
196,Zeya,RU,53.75,127.2667,9.86,95,84,4.5,broken clouds
197,Klaksvik,FO,62.2266,-6.589,41.92,74,100,28.88,overcast clouds
198,Paamiut,GL,61.994,-49.6678,23.07,82,36,12.48,scattered clouds
199,Black River,JM,18.0264,-77.8487,84.2,56,69,4.47,broken clouds
200,Vargem Alta,BR,-20.6714,-41.0069,64.38,92,100,2.91,overcast clouds
201,Sovetsk,RU,55.0839,21.8785,14.59,83,5,10.76,clear sky
202,Krasnozerskoye,RU,53.9828,79.2374,-11.47,98,15,6.17,few clouds
203,San Quintin,MX,30.4833,-115.95,59.74,78,99,3.91,overcast clouds
204,Bulanash,RU,57.2783,61.9965,16.77,69,100,8.12,overcast clouds
205,Aykhal,RU,66.0,111.5,-22.59,100,84,4.65,broken clouds
206,Tecoanapa,MX,16.5167,-98.75,82.56,67,6,2.33,clear sky
207,Irece,BR,-11.3042,-41.8558,85.91,44,63,8.3,broken clouds
208,Tutoia,BR,-2.7619,-42.2744,93.18,64,22,14.23,few clouds
209,Manta,EC,-0.95,-80.7333,76.78,83,75,6.91,broken clouds
210,Blackwater,AU,-23.5833,148.8833,74.71,79,61,4.76,broken clouds
211,Kahului,US,20.8947,-156.47,74.84,90,40,4.61,scattered clouds
212,Qingdao,CN,36.0986,120.3719,40.6,87,20,4.47,few clouds
213,Okhotsk,RU,59.3833,143.3,-22.45,79,1,16.42,clear sky
214,Lalin,ES,42.7167,-8.1167,46.92,97,100,9.01,moderate rain
215,Victoria,HK,22.2855,114.1577,69.24,78,18,1.01,few clouds
216,Arlit,NE,18.7369,7.3853,80.78,7,25,2.73,scattered clouds
217,Faanui,PF,-16.4833,-151.75,80.62,76,99,15.41,overcast clouds
218,Mumford,GH,5.2618,-0.759,83.55,69,1,11.23,clear sky
219,Huarmey,PE,-10.0681,-78.1522,70.93,80,93,8.3,overcast clouds
220,Vila Velha,BR,-20.3297,-40.2925,76.95,84,75,13.0,broken clouds
221,Khilok,RU,51.3674,110.4676,10.74,92,42,3.67,scattered clouds
222,Ayan,RU,56.45,138.1667,14.43,67,14,4.41,few clouds
223,Jackson,US,42.4165,-122.8345,45.64,91,90,0.0,mist
224,Kautokeino,NO,69.0125,23.0412,-6.32,100,97,3.56,overcast clouds
225,Nalgonda,IN,17.05,79.2667,76.62,64,96,5.5,overcast clouds
226,Jesus Carranza,MX,17.4333,-95.0333,77.76,86,74,4.09,broken clouds
227,Marzuq,YE,14.4,46.4667,63.9,11,0,3.83,clear sky
228,Arrecife,ES,28.963,-13.5477,69.78,52,20,18.41,few clouds
229,Santa Maria,BR,-29.6842,-53.8069,78.1,41,20,10.36,few clouds
230,Teya,RU,60.3778,92.6267,-6.29,94,99,5.48,overcast clouds
231,Hervey Bay,AU,-25.2986,152.8535,75.04,90,97,1.01,light rain
232,Deniliquin,AU,-35.5333,144.9667,50.23,69,2,13.82,clear sky
233,North Bend,US,43.4065,-124.2243,48.11,97,90,5.75,mist
234,Razdolinsk,RU,58.4211,94.6658,-8.77,99,100,5.48,overcast clouds
235,Hambantota,LK,6.1241,81.1185,79.14,100,40,4.61,scattered clouds
236,Lac-Megantic,CA,45.5834,-70.8823,17.62,88,100,3.24,light snow
237,Bay Roberts,CA,47.5999,-53.2648,36.34,64,99,4.0,overcast clouds
238,Dangriga,BZ,16.9692,-88.2321,84.97,84,72,10.18,broken clouds
239,Waipawa,NZ,-41.4122,175.5153,61.45,80,90,9.66,heavy intensity rain
240,Rudsar,IR,37.1376,50.288,55.38,66,72,6.64,broken clouds
241,Narsaq,GL,60.9167,-46.05,30.42,87,98,10.58,overcast clouds
242,Livingstonia,MW,-10.606,34.1063,73.27,56,57,4.41,broken clouds
243,Kismayo,SO,-0.3582,42.5454,81.45,75,88,8.95,light rain
244,Havoysund,NO,70.9963,24.6622,20.28,80,21,19.3,few clouds
245,Besikduzu,TR,41.052,39.2284,67.89,63,97,6.49,overcast clouds
246,Bandarbeyla,SO,9.4942,50.8122,77.32,70,17,20.51,few clouds
247,Karratha,AU,-20.7377,116.8463,89.71,44,44,13.11,light rain
248,Kovernino,RU,57.1253,43.8142,28.22,98,100,5.28,light snow
249,Ngama,TD,11.7833,17.1667,89.46,13,83,8.68,broken clouds
250,Marsa Matruh,EG,31.3525,27.2453,64.6,48,20,24.16,few clouds
251,Arkhipo-Osipovka,RU,44.37,38.52,54.66,83,100,8.79,overcast clouds
252,Chilca,PE,-12.5211,-76.7372,70.84,81,99,8.72,overcast clouds
253,Ayorou,NE,14.7308,0.9174,90.63,8,34,11.39,scattered clouds
254,Rio Gallegos,AR,-51.6226,-69.2181,60.85,27,0,19.57,clear sky
255,Husavik,IS,66.0449,-17.3389,17.51,69,14,16.35,few clouds
256,Salalah,OM,17.0151,54.0924,78.89,53,0,2.3,clear sky
257,Yatou,CN,37.15,122.3833,44.71,68,100,4.5,overcast clouds
258,Williamsport,US,41.2412,-77.0011,35.02,57,20,4.0,few clouds
259,Antsohihy,MG,-14.8796,47.9875,81.73,66,77,2.59,light rain
260,Filadelfia,US,39.9523,-75.1638,38.21,61,75,1.01,broken clouds
261,Lewistown,US,40.5992,-77.5714,35.42,81,90,0.0,overcast clouds
262,Airai,TL,-8.9266,125.4092,61.09,94,99,0.63,overcast clouds
263,Benguela,AO,-12.5763,13.4055,80.08,67,87,7.72,overcast clouds
264,Yanam,IN,16.7333,82.2167,81.0,81,83,7.81,light rain
265,Sao Felix Do Xingu,BR,-6.6447,-51.995,81.46,80,99,4.0,overcast clouds
266,Eyl,SO,7.9803,49.8164,77.18,63,87,25.21,overcast clouds
267,Luba,GQ,3.4568,8.5547,81.72,78,37,6.55,scattered clouds
268,Pemangkat,ID,1.1667,108.9667,79.18,85,100,7.4,overcast clouds
269,Uusikaupunki,FI,60.8004,21.4084,5.52,88,87,9.13,overcast clouds
270,Gat,IL,31.61,34.7642,61.79,46,60,27.85,broken clouds
271,Ulaanbaatar,MN,47.9077,106.8832,1.53,71,0,6.71,clear sky
272,Watertown,US,42.3709,-71.1828,39.07,58,90,1.01,smoke
273,Onega,RU,63.9061,38.1404,12.07,96,97,1.45,overcast clouds
274,Kidal,ML,18.4411,1.4078,82.96,9,17,9.24,few clouds
275,Ilulissat,GL,69.2167,-51.1,32.02,43,75,20.71,broken clouds
276,Florianopolis,BR,-27.6146,-48.5012,75.13,53,75,1.01,broken clouds
277,Reconquista,AR,-29.15,-59.65,93.45,24,0,7.38,clear sky
278,Los Llanos De Aridane,ES,28.6585,-17.9182,65.12,77,75,13.0,broken clouds
279,Kurumkan,RU,54.3,110.3,15.84,90,46,5.35,scattered clouds
280,San Patricio,US,28.017,-97.5169,67.87,62,16,1.41,few clouds
281,Saint-Augustin,CA,51.226,-58.6502,18.03,42,2,19.15,clear sky
282,Mount Gambier,AU,-37.8333,140.7667,44.51,87,43,5.75,scattered clouds
283,Baykit,RU,61.67,96.37,-20.76,99,76,2.73,broken clouds
284,Jalu,LY,29.0331,21.5482,61.74,50,0,7.72,clear sky
285,Okha,RU,53.5739,142.9478,15.8,82,57,10.27,broken clouds
