City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
3,Nanakuli,US,76.95,overcast clouds,21.3906,-158.1547,Camp Pālehua
4,Rikitea,PF,75.16,few clouds,-23.1203,-134.9692,People ThankYou
6,Butaritari,KI,82.11,light rain,3.0707,172.7902,Isles Sunset Lodge
7,Cidreira,BR,72.09,scattered clouds,-30.1811,-50.2056,Hotel Castelo
8,Santa Isabel,BR,70.66,broken clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
10,Salto,UY,80.76,clear sky,-31.3833,-57.9667,Gran Hotel Uruguay
12,Puri,IN,73.92,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
15,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
17,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
22,Busselton,AU,73.98,clear sky,-33.65,115.3333,Observatory Guest House
31,Arraial Do Cabo,BR,71.46,light rain,-22.9661,-42.0278,Pousada Porto Praia
34,Santarem,BR,78.93,broken clouds,-2.4431,-54.7083,Ecotur Lodge
40,Yulara,AU,78.64,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
46,Bambous Virieux,MU,80.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
47,Hithadhoo,MV,81.82,overcast clouds,-0.6,73.0833,Scoop Guest House
48,Ambon,ID,79.07,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
51,Rio Grande,BR,77.11,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
52,Labuhan,ID,80.17,moderate rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
55,Cape Town,ZA,81.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
59,Alofi,NU,73.29,heavy intensity rain,-19.0595,-169.9187,Taloa Heights
60,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
61,Cabo San Lucas,MX,75.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
63,Teluknaga,ID,82.63,heavy intensity rain,-6.0989,106.6381,Bale Ocasa hotel
66,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
67,Kefamenanu,ID,73.35,overcast clouds,-9.4467,124.4781,Sokowindo Losmen
68,Ancud,CL,76.23,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
